Color,Eye_color,Height,Legs,Moustache,Tail,Weight,label
gray,yellow,1.2700000000000007,4,Yes,Yes,5.011278195488721,Cat
gray,yellow,1.1500000000000006,4,Yes,Yes,1.6278195488721803,Cat
black,gray,0.6500000000000001,4,Yes,Yes,1.1015037593984962,Cat
brown,black,1.3100000000000007,4,Yes,Yes,0.8007518796992481,Cat
white,black,1.3400000000000007,4,Yes,Yes,7.417293233082706,Cat
gray,yellow,1.4800000000000009,4,Yes,Yes,3.3571428571428568,Cat
black,gray,0.9700000000000004,4,Yes,Yes,4.109022556390977,Cat
black,yellow,0.6200000000000001,4,Yes,Yes,2.6052631578947367,Cat
brown_white,green,0.8100000000000003,4,Yes,Yes,3.281954887218045,Cat
black,green,1.2800000000000007,4,Yes,Yes,6.515037593984962,Cat
gray,gray,1.0700000000000005,4,Yes,Yes,4.033834586466165,Cat
white,yellow,1.4900000000000009,4,Yes,Yes,5.763157894736842,Cat
white,green,0.55,4,Yes,Yes,4.184210526315789,Cat
brown,blue,0.9400000000000004,4,Yes,Yes,3.733082706766917,Cat
brown,yellow,0.6100000000000001,4,Yes,Yes,6.289473684210526,Cat
white,yellow,0.51,4,Yes,Yes,3.808270676691729,Cat
gray,green,1.2000000000000006,4,Yes,Yes,5.612781954887218,Cat
black,yellow,0.7800000000000002,4,Yes,Yes,7.116541353383458,Cat
white,blue,0.7400000000000002,4,Yes,Yes,4.560150375939849,Cat
black,gray,0.56,4,Yes,Yes,2.0037593984962405,Cat
brown_white,yellow,0.6300000000000001,4,Yes,Yes,2.5300751879699246,Cat
brown,black,0.6400000000000001,4,Yes,Yes,3.131578947368421,Cat
brown,gray,1.3000000000000007,4,Yes,Yes,3.056390977443609,Cat
brown_white,gray,1.1000000000000005,4,Yes,Yes,4.334586466165414,Cat
gray,black,1.0500000000000005,4,Yes,Yes,5.387218045112782,Cat
brown_white,green,1.1100000000000005,4,Yes,Yes,1.026315789473684,Cat
black,gray,0.5700000000000001,4,Yes,Yes,4.860902255639098,Cat
white,yellow,0.52,4,Yes,Yes,5.2368421052631575,Cat
black,black,1.1600000000000006,4,Yes,Yes,1.8533834586466165,Cat
brown,blue,0.7600000000000002,4,Yes,Yes,7.7180451127819545,Cat
white,blue,0.9600000000000004,4,Yes,Yes,6.665413533834586,Cat
brown,blue,0.8000000000000003,4,Yes,Yes,0.9511278195488722,Cat
gray,gray,1.4000000000000008,4,Yes,Yes,1.7030075187969924,Cat
black,gray,0.6900000000000002,4,Yes,Yes,7.492481203007518,Cat
brown_white,green,1.3700000000000008,4,Yes,Yes,3.6578947368421053,Cat
black,yellow,0.9900000000000004,4,Yes,Yes,0.650375939849624,Cat
black,green,0.5800000000000001,4,Yes,Yes,4.484962406015038,Cat
gray,black,0.8500000000000003,4,Yes,Yes,6.890977443609022,Cat
black,yellow,0.9100000000000004,4,Yes,Yes,1.4774436090225564,Cat
brown_white,blue,1.3300000000000007,4,Yes,Yes,7.19172932330827,Cat
brown,green,1.1300000000000006,4,Yes,Yes,7.793233082706767,Cat
black,blue,0.9800000000000004,4,Yes,Yes,7.642857142857142,Cat
brown,black,1.2100000000000006,4,Yes,Yes,4.785714285714286,Cat
white,blue,1.0100000000000005,4,Yes,Yes,2.2293233082706765,Cat
white,green,0.7100000000000002,4,Yes,Yes,6.06390977443609,Cat
brown,blue,1.4100000000000008,4,Yes,Yes,6.966165413533834,Cat
black,gray,0.5,4,Yes,Yes,1.3270676691729322,Cat
black,yellow,1.2500000000000007,4,Yes,Yes,3.8834586466165413,Cat
gray,blue,1.2400000000000007,4,Yes,Yes,5.462406015037594,Cat
white,gray,0.7200000000000002,4,Yes,Yes,7.56766917293233,Cat
gray,yellow,0.8900000000000003,4,Yes,Yes,2.981203007518797,Cat
black,blue,1.1700000000000006,4,Yes,Yes,1.5526315789473684,Cat
white,green,0.8600000000000003,4,Yes,Yes,6.139097744360902,Cat
brown_white,gray,0.6700000000000002,4,Yes,Yes,3.206766917293233,Cat
brown,black,1.3200000000000007,4,Yes,Yes,0.5,Cat
brown_white,yellow,0.9200000000000004,4,Yes,Yes,1.4022556390977443,Cat
brown_white,green,1.0900000000000005,4,Yes,Yes,5.086466165413533,Cat
black,blue,1.4700000000000009,4,Yes,Yes,2.3796992481203008,Cat
gray,blue,0.8800000000000003,4,Yes,Yes,5.913533834586466,Cat
brown_white,black,1.4600000000000009,4,Yes,Yes,3.958646616541353,Cat
black,green,0.9500000000000004,4,Yes,Yes,7.943609022556391,Cat
black,gray,1.1800000000000006,4,Yes,Yes,2.680451127819549,Cat
brown_white,blue,0.9000000000000004,4,Yes,Yes,2.454887218045113,Cat
brown,gray,0.7000000000000002,4,Yes,Yes,7.041353383458646,Cat
white,black,1.2200000000000006,4,Yes,Yes,2.906015037593985,Cat
brown_white,blue,1.1200000000000006,4,Yes,Yes,2.0789473684210527,Cat
brown_white,blue,0.7300000000000002,4,Yes,Yes,5.161654135338345,Cat
white,gray,0.54,4,Yes,Yes,7.2669172932330826,Cat
brown_white,black,1.0200000000000005,4,Yes,Yes,4.2593984962406015,Cat
white,gray,0.5900000000000001,4,Yes,Yes,4.409774436090226,Cat
white,black,0.9300000000000004,4,Yes,Yes,3.432330827067669,Cat
gray,gray,1.4500000000000008,4,Yes,Yes,6.7406015037593985,Cat
brown,green,0.7900000000000003,4,Yes,Yes,2.7556390977443606,Cat
brown,yellow,1.0800000000000005,4,Yes,Yes,2.1541353383458643,Cat
brown_white,green,1.4200000000000008,4,Yes,Yes,4.635338345864661,Cat
brown,gray,1.1400000000000006,4,Yes,Yes,2.3045112781954886,Cat
white,yellow,1.3900000000000008,4,Yes,Yes,5.6879699248120295,Cat
white,black,0.53,4,Yes,Yes,6.364661654135338,Cat
brown,green,1.0300000000000005,4,Yes,Yes,6.590225563909774,Cat
brown_white,blue,0.8300000000000003,4,Yes,Yes,7.868421052631579,Cat
